"Plot Title: atm control"
"#","Date Time, GMT-08:00","Abs Pres, psi (LGR S/N: 20214178, SEN S/N: 20214178)","Temp, °F (LGR S/N: 20214178, SEN S/N: 20214178)","Coupler Detached (LGR S/N: 20214178)","Coupler Attached (LGR S/N: 20214178)","Host Connected (LGR S/N: 20214178)","End Of File (LGR S/N: 20214178)"
2,12/11/18 01:00:00 PM,12.4219,54.495,,,,
3,12/11/18 02:00:00 PM,12.4148,45.648,,,,
4,12/11/18 03:00:00 PM,12.4220,42.363,,,,
5,12/11/18 04:00:00 PM,12.4203,37.107,,,,
6,12/11/18 05:00:00 PM,12.4100,33.013,,,,
7,12/11/18 06:00:00 PM,12.4239,31.617,,,,
8,12/11/18 07:00:00 PM,12.4168,32.218,,,,
9,12/11/18 08:00:00 PM,12.4123,32.018,,,,
10,12/11/18 09:00:00 PM,12.4046,34.590,,,,
11,12/11/18 10:00:00 PM,12.3970,37.107,,,,
12,12/11/18 11:00:00 PM,12.3987,38.061,,,,
13,12/12/18 12:00:00 AM,12.4017,36.723,,,,
14,12/12/18 01:00:00 AM,12.3993,36.145,,,,
15,12/12/18 02:00:00 AM,12.4178,36.531,,,,
16,12/12/18 03:00:00 AM,12.4294,35.370,,,,
17,12/12/18 04:00:00 AM,12.4434,34.002,,,,
18,12/12/18 05:00:00 AM,12.4470,31.415,,,,
19,12/12/18 06:00:00 AM,12.4660,28.969,,,,
20,12/12/18 07:00:00 AM,12.4717,27.511,,,,
21,12/12/18 08:00:00 AM,12.4777,27.091,,,,
22,12/12/18 09:00:00 AM,12.4866,29.790,,,,
23,12/12/18 10:00:00 AM,12.4915,38.440,,,,
24,12/12/18 11:00:00 AM,12.4851,53.798,,,,
25,12/12/18 12:00:00 PM,12.4815,48.695,,,,
26,12/12/18 01:00:00 PM,12.4818,54.842,,,,
27,12/12/18 02:00:00 PM,12.4685,46.369,,,,
28,12/12/18 03:00:00 PM,12.4631,43.648,,,,
29,12/12/18 04:00:00 PM,12.4715,37.297,,,,
30,12/12/18 05:00:00 PM,12.4738,32.617,,,,
31,12/12/18 06:00:00 PM,12.4776,28.555,,,,
32,12/12/18 07:00:00 PM,12.4891,26.458,,,,
33,12/12/18 08:00:00 PM,12.4915,24.744,,,,
34,12/12/18 09:00:00 PM,12.4938,23.655,,,,
35,12/12/18 10:00:00 PM,12.4920,22.552,,,,
36,12/12/18 11:00:00 PM,12.4950,21.884,,,,
37,12/13/18 12:00:00 AM,12.4915,21.434,,,,
38,12/13/18 01:00:00 AM,12.4989,20.984,,,,
39,12/13/18 02:00:00 AM,12.4936,21.884,,,,
40,12/13/18 03:00:00 AM,12.4927,25.390,,,,
41,12/13/18 04:00:00 AM,12.4962,23.436,,,,
42,12/13/18 05:00:00 AM,12.5024,21.434,,,,
43,12/13/18 06:00:00 AM,12.5060,20.302,,,,
44,12/13/18 07:00:00 AM,12.5053,19.843,,,,
45,12/13/18 08:00:00 AM,12.5043,20.073,,,,
46,12/13/18 09:00:00 AM,12.5057,24.960,,,,
47,12/13/18 10:00:00 AM,12.5007,36.723,,,,
48,12/13/18 11:00:00 AM,12.4949,51.874,,,,
49,12/13/18 12:00:00 PM,12.4798,49.228,,,,
50,12/13/18 01:00:00 PM,12.4618,54.495,,,,
51,12/13/18 02:00:00 PM,12.4569,47.446,,,,
52,12/13/18 03:00:00 PM,12.4513,46.728,,,,
53,12/13/18 04:00:00 PM,12.4466,39.384,,,,
54,12/13/18 05:00:00 PM,12.4500,31.617,,,,
55,12/13/18 06:00:00 PM,12.4505,27.930,,,,
56,12/13/18 07:00:00 PM,12.4529,26.245,,,,
57,12/13/18 08:00:00 PM,12.4522,24.960,,,,
58,12/13/18 09:00:00 PM,12.4470,24.310,,,,
59,12/13/18 10:00:00 PM,12.4445,23.655,,,,
60,12/13/18 11:00:00 PM,12.4474,22.995,,,,
61,12/14/18 12:00:00 AM,12.4354,22.330,,,,
62,12/14/18 01:00:00 AM,12.4289,22.552,,,,
63,12/14/18 02:00:00 AM,12.4258,22.330,,,,
64,12/14/18 03:00:00 AM,12.4162,22.330,,,,
65,12/14/18 04:00:00 AM,12.4090,22.107,,,,
66,12/14/18 05:00:00 AM,12.4030,21.884,,,,
67,12/14/18 06:00:00 AM,12.3925,22.107,,,,
68,12/14/18 07:00:00 AM,12.3787,23.655,,,,
69,12/14/18 08:00:00 AM,12.3767,24.960,,,,
70,12/14/18 09:00:00 AM,12.3579,29.174,,,,
71,12/14/18 10:00:00 AM,12.3507,38.818,,,,
72,12/14/18 11:00:00 AM,12.3516,50.466,,,,
73,12/14/18 12:00:00 PM,12.3553,46.188,,,,
74,12/14/18 01:00:00 PM,12.3417,44.195,,,,
75,12/14/18 02:00:00 PM,12.3334,42.732,,,,
76,12/14/18 03:00:00 PM,12.3402,36.145,,,,
77,12/14/18 04:00:00 PM,12.3614,34.981,,,,
78,12/14/18 05:00:00 PM,12.3607,34.590,,,,
79,12/14/18 06:00:00 PM,12.3607,35.370,,,,
80,12/14/18 07:00:00 PM,12.3684,35.758,,,,
81,12/14/18 08:00:00 PM,12.3762,36.338,,,,
82,12/14/18 09:00:00 PM,12.3830,34.786,,,,
83,12/14/18 10:00:00 PM,12.3890,36.531,,,,
84,12/14/18 11:00:00 PM,12.3922,36.723,,,,
85,12/15/18 12:00:00 AM,12.3890,36.531,,,,
86,12/15/18 01:00:00 AM,12.3842,36.914,,,,
87,12/15/18 02:00:00 AM,12.3797,36.723,,,,
88,12/15/18 03:00:00 AM,12.3800,34.590,,,,
89,12/15/18 04:00:00 AM,12.3803,34.002,,,,
90,12/15/18 05:00:00 AM,12.3788,34.002,,,,
91,12/15/18 06:00:00 AM,12.3836,33.607,,,,
92,12/15/18 07:00:00 AM,12.3813,33.805,,,,
93,12/15/18 08:00:00 AM,12.3888,34.198,,,,
94,12/15/18 09:00:00 AM,12.3962,35.951,,,,
95,12/15/18 10:00:00 AM,12.3996,44.195,,,,
96,12/15/18 11:00:00 AM,12.3939,43.466,,,,
97,12/15/18 12:00:00 PM,12.3814,41.994,,,,
98,12/15/18 01:00:00 PM,12.3730,44.013,,,,
99,12/15/18 02:00:00 PM,12.3746,42.732,,,,
100,12/15/18 03:00:00 PM,12.3749,40.696,,,,
101,12/15/18 04:00:00 PM,12.3798,39.007,,,,
102,12/15/18 05:00:00 PM,12.3807,34.981,,,,
103,12/15/18 06:00:00 PM,12.3833,34.198,,,,
104,12/15/18 07:00:00 PM,12.3884,33.213,,,,
105,12/15/18 08:00:00 PM,12.3872,31.816,,,,
106,12/15/18 09:00:00 PM,12.3885,30.198,,,,
107,12/15/18 10:00:00 PM,12.3864,29.790,,,,
108,12/15/18 11:00:00 PM,12.3930,30.403,,,,
109,12/16/18 12:00:00 AM,12.3865,30.607,,,,
110,12/16/18 01:00:00 AM,12.3862,31.213,,,,
111,12/16/18 02:00:00 AM,12.3877,32.018,,,,
112,12/16/18 03:00:00 AM,12.3888,34.981,,,,
113,12/16/18 04:00:00 AM,12.3820,35.758,,,,
114,12/16/18 05:00:00 AM,12.3687,35.951,,,,
115,12/16/18 06:00:00 AM,12.3780,35.758,,,,
116,12/16/18 07:00:00 AM,12.3711,36.531,,,,
117,12/16/18 08:00:00 AM,12.3678,36.914,,,,
118,12/16/18 09:00:00 AM,12.3723,38.629,,,,
119,12/16/18 10:00:00 AM,12.3835,40.881,,,,
120,12/16/18 11:00:00 AM,12.3707,39.947,,,,
121,12/16/18 12:00:00 PM,12.3527,43.466,,,,
122,12/16/18 01:00:00 PM,12.3389,42.732,,,,
123,12/16/18 02:00:00 PM,12.3429,39.760,,,,
124,12/16/18 03:00:00 PM,12.3389,38.440,,,,
125,12/16/18 04:00:00 PM,12.3455,37.488,,,,
126,12/16/18 05:00:00 PM,12.3462,37.870,,,,
127,12/16/18 06:00:00 PM,12.3559,34.981,,,,
