"Plot Title: atm control"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214178, SEN S/N: 20214178)","Temp, °F (LGR S/N: 20214178, SEN S/N: 20214178)","Coupler Detached (LGR S/N: 20214178)","Coupler Attached (LGR S/N: 20214178)","Host Connected (LGR S/N: 20214178)","Stopped (LGR S/N: 20214178)","End Of File (LGR S/N: 20214178)"
1,07/18/18 06:00:00 PM,12.4157,87.915,Logged,,,,
2,07/18/18 07:00:00 PM,12.4131,83.043,,,,,
3,07/18/18 08:00:00 PM,12.4145,76.876,,,,,
4,07/18/18 09:00:00 PM,12.4131,69.278,,,,,
5,07/18/18 10:00:00 PM,12.4232,62.769,,,,,
6,07/18/18 11:00:00 PM,12.4263,58.476,,,,,
7,07/19/18 12:00:00 AM,12.4247,55.189,,,,,
8,07/19/18 01:00:00 AM,12.4268,52.925,,,,,
9,07/19/18 02:00:00 AM,12.4249,51.346,,,,,
10,07/19/18 03:00:00 AM,12.4278,49.404,,,,,
11,07/19/18 04:00:00 AM,12.4273,47.802,,,,,
12,07/19/18 05:00:00 AM,12.4258,46.369,,,,,
13,07/19/18 06:00:00 AM,12.4278,45.286,,,,,
14,07/19/18 07:00:00 AM,12.4276,45.828,,,,,
15,07/19/18 08:00:00 AM,12.4297,64.481,,,,,
16,07/19/18 09:00:00 AM,12.4329,67.050,,,,,
17,07/19/18 10:00:00 AM,12.4315,99.687,,,,,
18,07/19/18 11:00:00 AM,12.4323,105.994,,,,,
19,07/19/18 12:00:00 PM,12.4268,107.470,,,,,
20,07/19/18 01:00:00 PM,12.4226,105.994,,,,,
21,07/19/18 02:00:00 PM,12.4167,102.900,,,,,
22,07/19/18 03:00:00 PM,12.4051,95.016,,,,,
23,07/19/18 04:00:00 PM,12.3972,93.115,,,,,
24,07/19/18 05:00:00 PM,12.3885,90.867,,,,,
25,07/19/18 06:00:00 PM,12.3869,94.444,,,,,
26,07/19/18 07:00:00 PM,12.3833,83.935,,,,,
27,07/19/18 08:00:00 PM,12.3832,78.274,,,,,
28,07/19/18 09:00:00 PM,12.3894,69.793,,,,,
29,07/19/18 10:00:00 PM,12.3949,64.310,,,,,
30,07/19/18 11:00:00 PM,12.3974,59.164,,,,,
31,07/20/18 12:00:00 AM,12.4013,55.884,,,,,
32,07/20/18 01:00:00 AM,12.3986,53.274,,,,,
33,07/20/18 02:00:00 AM,12.3987,51.346,,,,,
34,07/20/18 03:00:00 AM,12.3965,49.582,,,,,
35,07/20/18 04:00:00 AM,12.4023,48.339,,,,,
36,07/20/18 05:00:00 AM,12.4007,46.908,,,,,
37,07/20/18 06:00:00 AM,12.4028,45.828,,,,,
38,07/20/18 07:00:00 AM,12.4059,46.728,,,,,
39,07/20/18 08:00:00 AM,12.4093,65.167,,,,,
40,07/20/18 09:00:00 AM,12.4088,66.193,,,,,
41,07/20/18 10:00:00 AM,12.4112,98.307,,,,,
42,07/20/18 11:00:00 AM,12.4102,104.540,,,,,
43,07/20/18 12:00:00 PM,12.4088,104.540,,,,,
44,07/20/18 01:00:00 PM,12.3996,99.687,,,,,
45,07/20/18 02:00:00 PM,12.4017,102.493,,,,,
46,07/20/18 03:00:00 PM,12.3983,104.747,,,,,
47,07/20/18 04:00:00 PM,12.3901,91.987,,,,,
48,07/20/18 05:00:00 PM,12.3884,88.650,,,,,
49,07/20/18 06:00:00 PM,12.3907,94.825,,,,,
50,07/20/18 07:00:00 PM,12.3836,81.266,,,,,
51,07/20/18 08:00:00 PM,12.3881,75.139,,,,,
52,07/20/18 09:00:00 PM,12.3916,66.537,,,,,
53,07/20/18 10:00:00 PM,12.3978,60.024,,,,,
54,07/20/18 11:00:00 PM,12.4013,55.884,,,,,
55,07/21/18 12:00:00 AM,12.3986,52.576,,,,,
56,07/21/18 01:00:00 AM,12.4017,50.113,,,,,
57,07/21/18 02:00:00 AM,12.4033,48.160,,,,,
58,07/21/18 03:00:00 AM,12.4032,46.728,,,,,
59,07/21/18 04:00:00 AM,12.4025,46.369,,,,,
60,07/21/18 05:00:00 AM,12.4013,45.104,,,,,
61,07/21/18 06:00:00 AM,12.4054,43.648,,,,,
62,07/21/18 07:00:00 AM,12.4119,44.195,,,,,
63,07/21/18 08:00:00 AM,12.4129,61.227,,,,,
64,07/21/18 09:00:00 AM,12.4154,64.825,,,,,
65,07/21/18 10:00:00 AM,12.4181,97.331,,,,,
66,07/21/18 11:00:00 AM,12.4215,102.088,,,,,
67,07/21/18 12:00:00 PM,12.4228,102.088,,,,,
68,07/21/18 01:00:00 PM,12.4239,100.483,,,,,
69,07/21/18 02:00:00 PM,12.4187,100.083,,,,,
70,07/21/18 03:00:00 PM,12.4162,99.687,,,,,
71,07/21/18 04:00:00 PM,12.4083,89.384,,,,,
72,07/21/18 05:00:00 PM,12.4054,86.641,,,,,
73,07/21/18 06:00:00 PM,12.4087,92.737,,,,,
74,07/21/18 07:00:00 PM,12.4051,79.853,,,,,
75,07/21/18 08:00:00 PM,12.4112,75.484,,,,,
76,07/21/18 09:00:00 PM,12.4199,69.793,,,,,
77,07/21/18 10:00:00 PM,12.4260,67.050,,,,,
78,07/21/18 11:00:00 PM,12.4278,64.825,,,,,
79,07/22/18 12:00:00 AM,12.4374,59.851,,,,,
80,07/22/18 01:00:00 AM,12.4412,57.096,,,,,
81,07/22/18 02:00:00 AM,12.4370,56.404,,,,,
82,07/22/18 03:00:00 AM,12.4377,54.147,,,,,
83,07/22/18 04:00:00 AM,12.4384,52.576,,,,,
84,07/22/18 05:00:00 AM,12.4387,51.346,,,,,
85,07/22/18 06:00:00 AM,12.4455,50.643,,,,,
86,07/22/18 07:00:00 AM,12.4534,53.100,,,,,
87,07/22/18 08:00:00 AM,12.4576,67.564,,,,,
88,07/22/18 09:00:00 AM,12.4627,72.718,,,,,
89,07/22/18 10:00:00 AM,12.4673,86.459,,,,,
90,07/22/18 11:00:00 AM,12.4666,89.384,,,,,
91,07/22/18 12:00:00 PM,12.4679,99.291,,,,,
92,07/22/18 01:00:00 PM,12.4622,96.168,,,,,
93,07/22/18 02:00:00 PM,12.4651,102.290,,,,,
94,07/22/18 03:00:00 PM,12.4625,101.887,,,,,
95,07/22/18 04:00:00 PM,12.4492,91.240,,,,,
96,07/22/18 05:00:00 PM,12.4447,87.915,,,,,
97,07/22/18 06:00:00 PM,12.4428,91.425,,,,,
98,07/22/18 07:00:00 PM,12.4445,81.266,,,,,
99,07/22/18 08:00:00 PM,12.4528,76.703,,,,,
100,07/22/18 09:00:00 PM,12.4540,70.824,,,,,
101,07/22/18 10:00:00 PM,12.4650,68.421,,,,,
102,07/22/18 11:00:00 PM,12.4712,64.481,,,,,
103,07/23/18 12:00:00 AM,12.4717,61.569,,,,,
104,07/23/18 01:00:00 AM,12.4673,58.993,,,,,
105,07/23/18 02:00:00 AM,12.4663,56.577,,,,,
106,07/23/18 03:00:00 AM,12.4605,54.495,,,,,
107,07/23/18 04:00:00 AM,12.4616,53.100,,,,,
108,07/23/18 05:00:00 AM,12.4600,51.699,,,,,
109,07/23/18 06:00:00 AM,12.4603,50.466,,,,,
110,07/23/18 07:00:00 AM,12.4618,51.172,,,,,
111,07/23/18 08:00:00 AM,12.4635,64.139,,,,,
112,07/23/18 09:00:00 AM,12.4667,71.512,,,,,
113,07/23/18 10:00:00 AM,12.4727,95.400,,,,,
114,07/23/18 11:00:00 AM,12.4751,101.887,,,,,
115,07/23/18 12:00:00 PM,12.4672,104.540,,,,,
116,07/23/18 01:00:00 PM,12.4629,103.512,,,,,
117,07/23/18 02:00:00 PM,12.4629,105.994,,,,,
118,07/23/18 03:00:00 PM,12.4525,104.747,,,,,
119,07/23/18 04:00:00 PM,12.4410,92.363,,,,,
120,07/23/18 05:00:00 PM,12.4357,90.309,,,,,
121,07/23/18 06:00:00 PM,12.4380,93.304,,,,,
122,07/23/18 07:00:00 PM,12.4352,82.508,,,,,
123,07/23/18 08:00:00 PM,12.4405,77.923,,,,,
124,07/23/18 09:00:00 PM,12.4441,71.339,,,,,
125,07/23/18 10:00:00 PM,12.4461,64.996,,,,,
126,07/23/18 11:00:00 PM,12.4511,60.368,,,,,
127,07/24/18 12:00:00 AM,12.4577,57.096,,,,,
128,07/24/18 01:00:00 AM,12.4550,54.495,,,,,
129,07/24/18 02:00:00 AM,12.4537,52.576,,,,,
130,07/24/18 03:00:00 AM,12.4553,51.346,,,,,
131,07/24/18 04:00:00 AM,12.4524,49.937,,,,,
132,07/24/18 05:00:00 AM,12.4547,49.050,,,,,
133,07/24/18 06:00:00 AM,12.4590,47.802,,,,,
134,07/24/18 07:00:00 AM,12.4631,47.802,,,,,
135,07/24/18 08:00:00 AM,12.4693,58.647,,,,,
136,07/24/18 09:00:00 AM,12.4683,68.077,,,,,
137,07/24/18 10:00:00 AM,12.4715,101.082,,,,,
138,07/24/18 11:00:00 AM,12.4654,101.887,,,,,
139,07/24/18 12:00:00 PM,12.4653,106.835,,,,,
140,07/24/18 01:00:00 PM,12.4643,103.512,,,,,
141,07/24/18 02:00:00 PM,12.4635,106.205,,,,,
142,07/24/18 03:00:00 PM,12.4567,105.786,,,,,
143,07/24/18 04:00:00 PM,12.4460,93.682,,,,,
144,07/24/18 05:00:00 PM,12.4460,91.053,,,,,
145,07/24/18 06:00:00 PM,12.4425,92.926,,,,,
146,07/24/18 07:00:00 PM,12.4435,83.043,,,,,
147,07/24/18 08:00:00 PM,12.4489,77.400,,,,,
148,07/24/18 09:00:00 PM,12.4522,70.651,,,,,
149,07/24/18 10:00:00 PM,12.4618,65.167,,,,,
150,07/24/18 11:00:00 PM,12.4690,61.054,,,,,
151,07/25/18 12:00:00 AM,12.4719,57.958,,,,,
152,07/25/18 01:00:00 AM,12.4727,55.711,,,,,
153,07/25/18 02:00:00 AM,12.4738,53.623,,,,,
154,07/25/18 03:00:00 AM,12.4743,51.874,,,,,
155,07/25/18 04:00:00 AM,12.4703,50.643,,,,,
156,07/25/18 05:00:00 AM,12.4702,49.228,,,,,
157,07/25/18 06:00:00 AM,12.4735,48.160,,,,,
158,07/25/18 07:00:00 AM,12.4773,48.695,,,,,
159,07/25/18 08:00:00 AM,12.4840,57.096,,,,,
160,07/25/18 09:00:00 AM,12.4834,68.592,,,,,
161,07/25/18 10:00:00 AM,12.4904,101.887,,,,,
162,07/25/18 11:00:00 AM,12.4860,105.786,,,,,
163,07/25/18 12:00:00 PM,12.4837,104.954,,,,,
164,07/25/18 01:00:00 PM,12.4798,105.577,,,,,
165,07/25/18 02:00:00 PM,12.4760,107.683,,,,,
166,07/25/18 03:00:00 PM,12.4699,103.512,,,,,
167,07/25/18 04:00:00 PM,12.4640,95.783,,,,,
168,07/25/18 05:00:00 PM,12.4614,92.174,,,,,
169,07/25/18 06:00:00 PM,12.4634,95.016,,,,,
170,07/25/18 07:00:00 PM,12.4582,85.014,,,,,
171,07/25/18 08:00:00 PM,12.4583,76.703,,,,,
172,07/25/18 09:00:00 PM,12.4609,68.421,,,,,
173,07/25/18 10:00:00 PM,12.4677,62.940,,,,,
174,07/25/18 11:00:00 PM,12.4690,59.164,,,,,
175,07/26/18 12:00:00 AM,12.4654,55.537,,,,,
