"Plot Title: atm control"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20214178, SEN S/N: 20214178)","Temp, °F (LGR S/N: 20214178, SEN S/N: 20214178)","Coupler Detached (LGR S/N: 20214178)","Coupler Attached (LGR S/N: 20214178)","Host Connected (LGR S/N: 20214178)","Stopped (LGR S/N: 20214178)","End Of File (LGR S/N: 20214178)"
1,10/06/18 02:00:00 PM,12.3479,55.364,Logged,,,,
2,10/06/18 03:00:00 PM,12.3463,57.268,,,,,
3,10/06/18 04:00:00 PM,12.3479,58.647,,,,,
4,10/06/18 05:00:00 PM,12.3474,57.096,,,,,
5,10/06/18 06:00:00 PM,12.3471,54.322,,,,,
6,10/06/18 07:00:00 PM,12.3516,51.172,,,,,
7,10/06/18 08:00:00 PM,12.3536,46.728,,,,,
8,10/06/18 09:00:00 PM,12.3562,44.560,,,,,
9,10/06/18 10:00:00 PM,12.3620,43.282,,,,,
10,10/06/18 11:00:00 PM,12.3687,40.321,,,,,
11,10/07/18 12:00:00 AM,12.3679,39.947,,,,,
12,10/07/18 01:00:00 AM,12.3623,38.440,,,,,
13,10/07/18 02:00:00 AM,12.3685,38.061,,,,,
14,10/07/18 03:00:00 AM,12.3716,36.723,,,,,
15,10/07/18 04:00:00 AM,12.3697,34.981,,,,,
16,10/07/18 05:00:00 AM,12.3727,34.394,,,,,
17,10/07/18 06:00:00 AM,12.3801,33.213,,,,,
18,10/07/18 07:00:00 AM,12.3817,31.816,,,,,
19,10/07/18 08:00:00 AM,12.3877,32.018,,,,,
20,10/07/18 09:00:00 AM,12.3867,38.250,,,,,
21,10/07/18 10:00:00 AM,12.3875,48.517,,,,,
22,10/07/18 11:00:00 AM,12.3827,48.871,,,,,
23,10/07/18 12:00:00 PM,12.3761,69.964,,,,,
24,10/07/18 01:00:00 PM,12.3688,73.407,,,,,
25,10/07/18 02:00:00 PM,12.3639,74.791,,,,,
26,10/07/18 03:00:00 PM,12.3606,59.337,,,,,
27,10/07/18 04:00:00 PM,12.3578,61.912,,,,,
28,10/07/18 05:00:00 PM,12.3579,58.820,,,,,
29,10/07/18 06:00:00 PM,12.3517,55.189,,,,,
30,10/07/18 07:00:00 PM,12.3595,47.624,,,,,
31,10/07/18 08:00:00 PM,12.3629,42.363,,,,,
32,10/07/18 09:00:00 PM,12.3672,40.321,,,,,
33,10/07/18 10:00:00 PM,12.3717,39.760,,,,,
34,10/07/18 11:00:00 PM,12.3636,41.254,,,,,
35,10/08/18 12:00:00 AM,12.3629,40.881,,,,,
36,10/08/18 01:00:00 AM,12.3620,39.007,,,,,
37,10/08/18 02:00:00 AM,12.3574,40.134,,,,,
38,10/08/18 03:00:00 AM,12.3542,39.196,,,,,
39,10/08/18 04:00:00 AM,12.3517,38.629,,,,,
40,10/08/18 05:00:00 AM,12.3492,38.818,,,,,
41,10/08/18 06:00:00 AM,12.3465,38.061,,,,,
42,10/08/18 07:00:00 AM,12.3472,37.679,,,,,
43,10/08/18 08:00:00 AM,12.3588,38.061,,,,,
44,10/08/18 09:00:00 AM,12.3563,42.548,,,,,
45,10/08/18 10:00:00 AM,12.3540,55.017,,,,,
46,10/08/18 11:00:00 AM,12.3476,59.164,,,,,
47,10/08/18 12:00:00 PM,12.3416,77.050,,,,,
48,10/08/18 01:00:00 PM,12.3385,70.480,,,,,
49,10/08/18 02:00:00 PM,12.3270,84.654,,,,,
50,10/08/18 03:00:00 PM,12.3195,69.449,,,,,
51,10/08/18 04:00:00 PM,12.3112,70.651,,,,,
52,10/08/18 05:00:00 PM,12.3123,66.879,,,,,
53,10/08/18 06:00:00 PM,12.3169,60.883,,,,,
54,10/08/18 07:00:00 PM,12.3159,55.189,,,,,
55,10/08/18 08:00:00 PM,12.3211,49.050,,,,,
56,10/08/18 09:00:00 PM,12.3286,44.560,,,,,
57,10/08/18 10:00:00 PM,12.3282,41.439,,,,,
58,10/08/18 11:00:00 PM,12.3263,39.007,,,,,
59,10/09/18 12:00:00 AM,12.3269,37.107,,,,,
60,10/09/18 01:00:00 AM,12.3275,35.951,,,,,
61,10/09/18 02:00:00 AM,12.3318,34.590,,,,,
62,10/09/18 03:00:00 AM,12.3278,33.805,,,,,
63,10/09/18 04:00:00 AM,12.3221,33.013,,,,,
64,10/09/18 05:00:00 AM,12.3297,31.816,,,,,
65,10/09/18 06:00:00 AM,12.3295,31.012,,,,,
66,10/09/18 07:00:00 AM,12.3326,30.403,,,,,
67,10/09/18 08:00:00 AM,12.3295,31.012,,,,,
68,10/09/18 09:00:00 AM,12.3265,36.914,,,,,
69,10/09/18 10:00:00 AM,12.3169,49.050,,,,,
70,10/09/18 11:00:00 AM,12.3073,60.883,,,,,
71,10/09/18 12:00:00 PM,12.2930,83.757,,,,,
72,10/09/18 01:00:00 PM,12.2930,83.221,,,,,
73,10/09/18 02:00:00 PM,12.2776,84.295,,,,,
74,10/09/18 03:00:00 PM,12.2818,66.193,,,,,
75,10/09/18 04:00:00 PM,12.2773,67.906,,,,,
76,10/09/18 05:00:00 PM,12.2760,62.940,,,,,
77,10/09/18 06:00:00 PM,12.2776,57.958,,,,,
78,10/09/18 07:00:00 PM,12.2817,49.937,,,,,
79,10/09/18 08:00:00 PM,12.2930,46.008,,,,,
80,10/09/18 09:00:00 PM,12.3014,41.067,,,,,
81,10/09/18 10:00:00 PM,12.3091,38.629,,,,,
82,10/09/18 11:00:00 PM,12.3172,35.564,,,,,
83,10/10/18 12:00:00 AM,12.3163,32.815,,,,,
84,10/10/18 01:00:00 AM,12.3136,32.815,,,,,
85,10/10/18 02:00:00 AM,12.3157,30.198,,,,,
86,10/10/18 03:00:00 AM,12.3133,27.930,,,,,
87,10/10/18 04:00:00 AM,12.3086,26.881,,,,,
88,10/10/18 05:00:00 AM,12.3089,26.245,,,,,
89,10/10/18 06:00:00 AM,12.3082,25.819,,,,,
90,10/10/18 07:00:00 AM,12.3120,25.605,,,,,
91,10/10/18 08:00:00 AM,12.3115,33.213,,,,,
92,10/10/18 09:00:00 AM,12.3169,43.466,,,,,
93,10/10/18 10:00:00 AM,12.3150,50.113,,,,,
94,10/10/18 11:00:00 AM,12.3154,54.322,,,,,
95,10/10/18 12:00:00 PM,12.3070,66.366,,,,,
96,10/10/18 01:00:00 PM,12.2993,76.181,,,,,
97,10/10/18 02:00:00 PM,12.2930,78.098,,,,,
98,10/10/18 03:00:00 PM,12.2776,62.425,,,,,
99,10/10/18 04:00:00 PM,12.2783,64.652,,,,,
100,10/10/18 05:00:00 PM,12.2767,59.508,,,,,
101,10/10/18 06:00:00 PM,12.2777,56.057,,,,,
102,10/10/18 07:00:00 PM,12.2843,48.517,,,,,
103,10/10/18 08:00:00 PM,12.2888,43.099,,,,,
104,10/10/18 09:00:00 PM,12.2960,39.007,,,,,
105,10/10/18 10:00:00 PM,12.2986,35.951,,,,,
106,10/10/18 11:00:00 PM,12.3065,34.198,,,,,
107,10/11/18 12:00:00 AM,12.3098,32.218,,,,,
108,10/11/18 01:00:00 AM,12.3104,30.198,,,,,
109,10/11/18 02:00:00 AM,12.3147,28.762,,,,,
110,10/11/18 03:00:00 AM,12.3115,27.721,,,,,
111,10/11/18 04:00:00 AM,12.3091,27.091,,,,,
112,10/11/18 05:00:00 AM,12.3083,26.668,,,,,
113,10/11/18 06:00:00 AM,12.3121,26.458,,,,,
114,10/11/18 07:00:00 AM,12.3237,26.031,,,,,
115,10/11/18 08:00:00 AM,12.3295,26.245,,,,,
116,10/11/18 09:00:00 AM,12.3371,34.394,,,,,
117,10/11/18 10:00:00 AM,12.3416,46.908,,,,,
118,10/11/18 11:00:00 AM,12.3455,52.925,,,,,
119,10/11/18 12:00:00 PM,12.3346,75.312,,,,,
120,10/11/18 01:00:00 PM,12.3342,77.400,,,,,
121,10/11/18 02:00:00 PM,12.3328,79.151,,,,,
122,10/11/18 03:00:00 PM,12.3278,59.508,,,,,
123,10/11/18 04:00:00 PM,12.3308,61.569,,,,,
124,10/11/18 05:00:00 PM,12.3321,58.303,,,,,
