Date,baro.pressure_psi,baro.temp_F
2018-07-18 18:00:00,12.4157,87.915
2018-07-18 19:00:00,12.4131,83.043
2018-07-18 20:00:00,12.4145,76.876
2018-07-18 21:00:00,12.4131,69.278
2018-07-18 22:00:00,12.4232,62.769
2018-07-18 23:00:00,12.4263,58.476
2018-07-19 00:00:00,12.4247,55.189
2018-07-19 01:00:00,12.4268,52.925
2018-07-19 02:00:00,12.4249,51.346
2018-07-19 03:00:00,12.4278,49.404
2018-07-19 04:00:00,12.4273,47.802
2018-07-19 05:00:00,12.4258,46.369
2018-07-19 06:00:00,12.4278,45.286
2018-07-19 07:00:00,12.4276,45.828
2018-07-19 08:00:00,12.4297,64.481
2018-07-19 09:00:00,12.4329,67.05
2018-07-19 10:00:00,12.4315,99.687
2018-07-19 11:00:00,12.4323,105.994
2018-07-19 12:00:00,12.4268,107.47
2018-07-19 13:00:00,12.4226,105.994
2018-07-19 14:00:00,12.4167,102.9
2018-07-19 15:00:00,12.4051,95.016
2018-07-19 16:00:00,12.3972,93.115
2018-07-19 17:00:00,12.3885,90.867
2018-07-19 18:00:00,12.3869,94.444
2018-07-19 19:00:00,12.3833,83.935
2018-07-19 20:00:00,12.3832,78.274
2018-07-19 21:00:00,12.3894,69.793
2018-07-19 22:00:00,12.3949,64.31
2018-07-19 23:00:00,12.3974,59.164
2018-07-20 00:00:00,12.4013,55.884
2018-07-20 01:00:00,12.3986,53.274
2018-07-20 02:00:00,12.3987,51.346
2018-07-20 03:00:00,12.3965,49.582
2018-07-20 04:00:00,12.4023,48.339
2018-07-20 05:00:00,12.4007,46.908
2018-07-20 06:00:00,12.4028,45.828
2018-07-20 07:00:00,12.4059,46.728
2018-07-20 08:00:00,12.4093,65.167
2018-07-20 09:00:00,12.4088,66.193
2018-07-20 10:00:00,12.4112,98.307
2018-07-20 11:00:00,12.4102,104.54
2018-07-20 12:00:00,12.4088,104.54
2018-07-20 13:00:00,12.3996,99.687
2018-07-20 14:00:00,12.4017,102.493
2018-07-20 15:00:00,12.3983,104.747
2018-07-20 16:00:00,12.3901,91.987
2018-07-20 17:00:00,12.3884,88.65
2018-07-20 18:00:00,12.3907,94.825
2018-07-20 19:00:00,12.3836,81.266
2018-07-20 20:00:00,12.3881,75.139
2018-07-20 21:00:00,12.3916,66.537
2018-07-20 22:00:00,12.3978,60.024
2018-07-20 23:00:00,12.4013,55.884
2018-07-21 00:00:00,12.3986,52.576
2018-07-21 01:00:00,12.4017,50.113
2018-07-21 02:00:00,12.4033,48.16
2018-07-21 03:00:00,12.4032,46.728
2018-07-21 04:00:00,12.4025,46.369
2018-07-21 05:00:00,12.4013,45.104
2018-07-21 06:00:00,12.4054,43.648
2018-07-21 07:00:00,12.4119,44.195
2018-07-21 08:00:00,12.4129,61.227
2018-07-21 09:00:00,12.4154,64.825
2018-07-21 10:00:00,12.4181,97.331
2018-07-21 11:00:00,12.4215,102.088
2018-07-21 12:00:00,12.4228,102.088
2018-07-21 13:00:00,12.4239,100.483
2018-07-21 14:00:00,12.4187,100.083
2018-07-21 15:00:00,12.4162,99.687
2018-07-21 16:00:00,12.4083,89.384
2018-07-21 17:00:00,12.4054,86.641
2018-07-21 18:00:00,12.4087,92.737
2018-07-21 19:00:00,12.4051,79.853
2018-07-21 20:00:00,12.4112,75.484
2018-07-21 21:00:00,12.4199,69.793
2018-07-21 22:00:00,12.426,67.05
2018-07-21 23:00:00,12.4278,64.825
2018-07-22 00:00:00,12.4374,59.851
2018-07-22 01:00:00,12.4412,57.096
2018-07-22 02:00:00,12.437,56.404
2018-07-22 03:00:00,12.4377,54.147
2018-07-22 04:00:00,12.4384,52.576
2018-07-22 05:00:00,12.4387,51.346
2018-07-22 06:00:00,12.4455,50.643
2018-07-22 07:00:00,12.4534,53.1
2018-07-22 08:00:00,12.4576,67.564
2018-07-22 09:00:00,12.4627,72.718
2018-07-22 10:00:00,12.4673,86.459
2018-07-22 11:00:00,12.4666,89.384
2018-07-22 12:00:00,12.4679,99.291
2018-07-22 13:00:00,12.4622,96.168
2018-07-22 14:00:00,12.4651,102.29
2018-07-22 15:00:00,12.4625,101.887
2018-07-22 16:00:00,12.4492,91.24
2018-07-22 17:00:00,12.4447,87.915
2018-07-22 18:00:00,12.4428,91.425
2018-07-22 19:00:00,12.4445,81.266
2018-07-22 20:00:00,12.4528,76.703
2018-07-22 21:00:00,12.454,70.824
2018-07-22 22:00:00,12.465,68.421
2018-07-22 23:00:00,12.4712,64.481
2018-07-23 00:00:00,12.4717,61.569
2018-07-23 01:00:00,12.4673,58.993
2018-07-23 02:00:00,12.4663,56.577
2018-07-23 03:00:00,12.4605,54.495
2018-07-23 04:00:00,12.4616,53.1
2018-07-23 05:00:00,12.46,51.699
2018-07-23 06:00:00,12.4603,50.466
2018-07-23 07:00:00,12.4618,51.172
2018-07-23 08:00:00,12.4635,64.139
2018-07-23 09:00:00,12.4667,71.512
2018-07-23 10:00:00,12.4727,95.4
2018-07-23 11:00:00,12.4751,101.887
2018-07-23 12:00:00,12.4672,104.54
2018-07-23 13:00:00,12.4629,103.512
2018-07-23 14:00:00,12.4629,105.994
2018-07-23 15:00:00,12.4525,104.747
2018-07-23 16:00:00,12.441,92.363
2018-07-23 17:00:00,12.4357,90.309
2018-07-23 18:00:00,12.438,93.304
2018-07-23 19:00:00,12.4352,82.508
2018-07-23 20:00:00,12.4405,77.923
2018-07-23 21:00:00,12.4441,71.339
2018-07-23 22:00:00,12.4461,64.996
2018-07-23 23:00:00,12.4511,60.368
2018-07-24 00:00:00,12.4577,57.096
2018-07-24 01:00:00,12.455,54.495
2018-07-24 02:00:00,12.4537,52.576
2018-07-24 03:00:00,12.4553,51.346
2018-07-24 04:00:00,12.4524,49.937
2018-07-24 05:00:00,12.4547,49.05
2018-07-24 06:00:00,12.459,47.802
2018-07-24 07:00:00,12.4631,47.802
2018-07-24 08:00:00,12.4693,58.647
2018-07-24 09:00:00,12.4683,68.077
2018-07-24 10:00:00,12.4715,101.082
2018-07-24 11:00:00,12.4654,101.887
2018-07-24 12:00:00,12.4653,106.835
2018-07-24 13:00:00,12.4643,103.512
2018-07-24 14:00:00,12.4635,106.205
2018-07-24 15:00:00,12.4567,105.786
2018-07-24 16:00:00,12.446,93.682
2018-07-24 17:00:00,12.446,91.053
2018-07-24 18:00:00,12.4425,92.926
2018-07-24 19:00:00,12.4435,83.043
2018-07-24 20:00:00,12.4489,77.4
2018-07-24 21:00:00,12.4522,70.651
2018-07-24 22:00:00,12.4618,65.167
2018-07-24 23:00:00,12.469,61.054
2018-07-25 00:00:00,12.4719,57.958
2018-07-25 01:00:00,12.4727,55.711
2018-07-25 02:00:00,12.4738,53.623
2018-07-25 03:00:00,12.4743,51.874
2018-07-25 04:00:00,12.4703,50.643
2018-07-25 05:00:00,12.4702,49.228
2018-07-25 06:00:00,12.4735,48.16
2018-07-25 07:00:00,12.4773,48.695
2018-07-25 08:00:00,12.484,57.096
2018-07-25 09:00:00,12.4834,68.592
2018-07-25 10:00:00,12.4904,101.887
2018-07-25 11:00:00,12.486,105.786
2018-07-25 12:00:00,12.4837,104.954
2018-07-25 13:00:00,12.4798,105.577
2018-07-25 14:00:00,12.476,107.683
2018-07-25 15:00:00,12.4699,103.512
2018-07-25 16:00:00,12.464,95.783
2018-07-25 17:00:00,12.4614,92.174
2018-07-25 18:00:00,12.4634,95.016
2018-07-25 19:00:00,12.4582,85.014
2018-07-25 20:00:00,12.4583,76.703
2018-07-25 21:00:00,12.4609,68.421
2018-07-25 22:00:00,12.4677,62.94
2018-07-25 23:00:00,12.469,59.164
2018-07-26 00:00:00,12.4654,55.537
2018-07-26 01:00:00,12.4648,53.274
2018-07-26 02:00:00,12.4631,51.172
2018-07-26 03:00:00,12.4629,49.759
2018-07-26 04:00:00,12.4595,48.695
2018-07-26 05:00:00,12.4579,47.266
2018-07-26 06:00:00,12.4624,46.728
2018-07-26 07:00:00,12.4638,47.446
2018-07-26 08:00:00,12.4663,54.669
2018-07-26 09:00:00,12.467,65.68
2018-07-26 10:00:00,12.4663,94.062
2018-07-26 11:00:00,12.4638,96.748
2018-07-26 12:00:00,12.4624,104.333
2018-07-26 13:00:00,12.4512,105.786
2018-07-26 14:00:00,12.4477,110.919
2018-07-26 15:00:00,12.4377,106.414
2018-07-26 16:00:00,12.429,97.72
2018-07-26 17:00:00,12.4252,94.253
2018-07-26 18:00:00,12.4231,92.926
2018-07-26 19:00:00,12.417,85.735
2018-07-26 20:00:00,12.4191,76.528
2018-07-26 21:00:00,12.4218,69.449
