"Plot Title: ATM"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 10672171, SEN S/N: 10672171)","Temp, °F (LGR S/N: 10672171, SEN S/N: 10672171)","Coupler Detached (LGR S/N: 10672171)","Coupler Attached (LGR S/N: 10672171)","Host Connected (LGR S/N: 10672171)","Stopped (LGR S/N: 10672171)","End Of File (LGR S/N: 10672171)"
1,09/03/19 11:00:00 AM,12.3563,96.361,Logged,,,,
2,09/03/19 11:30:00 AM,12.3604,89.569,,,,,
3,09/03/19 12:00:00 PM,12.3579,92.737,,,,,
4,09/03/19 12:30:00 PM,12.3536,90.680,,,,,
5,09/03/19 01:00:00 PM,12.3549,89.200,,,,,
6,09/03/19 01:30:00 PM,12.3527,90.309,,,,,
7,09/03/19 02:00:00 PM,12.3481,90.309,,,,,
8,09/03/19 02:30:00 PM,12.3489,90.680,,,,,
9,09/03/19 03:00:00 PM,12.3418,89.569,,,,,
10,09/03/19 03:30:00 PM,12.3387,88.099,,,,,
11,09/03/19 04:00:00 PM,12.3346,84.115,,,,,
12,09/03/19 04:30:00 PM,12.3346,84.115,,,,,
13,09/03/19 05:00:00 PM,12.3330,83.399,,,,,
14,09/03/19 05:30:00 PM,12.3305,82.330,,,,,
15,09/03/19 06:00:00 PM,12.3240,81.442,,,,,
16,09/03/19 06:30:00 PM,12.3318,78.800,,,,,
17,09/03/19 07:00:00 PM,12.3276,74.964,,,,,
18,09/03/19 07:30:00 PM,12.3315,68.763,,,,,
19,09/03/19 08:00:00 PM,12.3346,62.425,,,,,
20,09/03/19 08:30:00 PM,12.3369,57.785,,,,,
21,09/03/19 09:00:00 PM,12.3382,54.669,,,,,
22,09/03/19 09:30:00 PM,12.3413,52.225,,,,,
23,09/03/19 10:00:00 PM,12.3408,50.290,,,,,
24,09/03/19 10:30:00 PM,12.3408,48.517,,,,,
25,09/03/19 11:00:00 PM,12.3366,46.908,,,,,
26,09/03/19 11:30:00 PM,12.3426,45.648,,,,,
27,09/04/19 12:00:00 AM,12.3397,44.560,,,,,
28,09/04/19 12:30:00 AM,12.3459,43.466,,,,,
29,09/04/19 01:00:00 AM,12.3430,42.363,,,,,
30,09/04/19 01:30:00 AM,12.3456,41.625,,,,,
31,09/04/19 02:00:00 AM,12.3395,41.067,,,,,
32,09/04/19 02:30:00 AM,12.3381,40.509,,,,,
33,09/04/19 03:00:00 AM,12.3308,39.573,,,,,
34,09/04/19 03:30:00 AM,12.3340,39.007,,,,,
35,09/04/19 04:00:00 AM,12.3324,38.440,,,,,
36,09/04/19 04:30:00 AM,12.3308,37.870,,,,,
37,09/04/19 05:00:00 AM,12.3334,37.107,,,,,
38,09/04/19 05:30:00 AM,12.3328,36.914,,,,,
39,09/04/19 06:00:00 AM,12.3318,36.531,,,,,
40,09/04/19 06:30:00 AM,12.3313,36.338,,,,,
41,09/04/19 07:00:00 AM,12.3359,36.338,,,,,
42,09/04/19 07:30:00 AM,12.3375,36.914,,,,,
43,09/04/19 08:00:00 AM,12.3472,38.818,,,,,
44,09/04/19 08:30:00 AM,12.3434,42.548,,,,,
45,09/04/19 09:00:00 AM,12.3372,48.871,,,,,
46,09/04/19 09:30:00 AM,12.3416,69.107,,,,,
47,09/04/19 10:00:00 AM,12.3414,83.043,,,,,
48,09/04/19 10:30:00 AM,12.3331,81.442,,,,,
49,09/04/19 11:00:00 AM,12.3355,80.382,,,,,
50,09/04/19 11:30:00 AM,12.3402,93.115,,,,,
51,09/04/19 12:00:00 PM,12.3385,94.444,,,,,
52,09/04/19 12:30:00 PM,12.3333,91.987,,,,,
53,09/04/19 01:00:00 PM,12.3318,89.200,,,,,
54,09/04/19 01:30:00 PM,12.3313,91.053,,,,,
55,09/04/19 02:00:00 PM,12.3253,88.282,,,,,
56,09/04/19 02:30:00 PM,12.3207,88.282,,,,,
57,09/04/19 03:00:00 PM,12.3233,87.368,,,,,
58,09/04/19 03:30:00 PM,12.3233,87.368,,,,,
59,09/04/19 04:00:00 PM,12.3191,83.399,,,,,
60,09/04/19 04:30:00 PM,12.3195,83.579,,,,,
61,09/04/19 05:00:00 PM,12.3137,83.043,,,,,
62,09/04/19 05:30:00 PM,12.3141,83.221,,,,,
63,09/04/19 06:00:00 PM,12.3128,86.823,,,,,
64,09/04/19 06:30:00 PM,12.3143,85.374,,,,,
65,09/04/19 07:00:00 PM,12.3214,78.274,,,,,
66,09/04/19 07:30:00 PM,12.3144,73.234,,,,,
67,09/04/19 08:00:00 PM,12.3278,69.107,,,,,
68,09/04/19 08:30:00 PM,12.3262,66.537,,,,,
69,09/04/19 09:00:00 PM,12.3350,64.481,,,,,
70,09/04/19 09:30:00 PM,12.3321,63.282,,,,,
71,09/04/19 10:00:00 PM,12.3288,61.912,,,,,
72,09/04/19 10:30:00 PM,12.3304,60.712,,,,,
73,09/04/19 11:00:00 PM,12.3353,58.993,,,,,
74,09/04/19 11:30:00 PM,12.3356,57.268,,,,,
75,09/05/19 12:00:00 AM,12.3360,57.441,,,,,
76,09/05/19 12:30:00 AM,12.3360,57.441,,,,,
77,09/05/19 01:00:00 AM,12.3402,57.268,,,,,
78,09/05/19 01:30:00 AM,12.3394,56.923,,,,,
79,09/05/19 02:00:00 AM,12.3389,56.750,,,,,
80,09/05/19 02:30:00 AM,12.3346,55.017,,,,,
81,09/05/19 03:00:00 AM,12.3347,53.274,,,,,
82,09/05/19 03:30:00 AM,12.3379,52.750,,,,,
83,09/05/19 04:00:00 AM,12.3417,52.401,,,,,
84,09/05/19 04:30:00 AM,12.3324,52.401,,,,,
85,09/05/19 05:00:00 AM,12.3398,51.699,,,,,
86,09/05/19 05:30:00 AM,12.3400,49.937,,,,,
87,09/05/19 06:00:00 AM,12.3459,48.695,,,,,
88,09/05/19 06:30:00 AM,12.3523,47.624,,,,,
89,09/05/19 07:00:00 AM,12.3458,46.908,,,,,
90,09/05/19 07:30:00 AM,12.3514,47.266,,,,,
91,09/05/19 08:00:00 AM,12.3555,48.871,,,,,
92,09/05/19 08:30:00 AM,12.3532,51.523,,,,,
93,09/05/19 09:00:00 AM,12.3565,56.404,,,,,
94,09/05/19 09:30:00 AM,12.3526,64.139,,,,,
95,09/05/19 10:00:00 AM,12.3527,75.832,,,,,
96,09/05/19 10:30:00 AM,12.3563,81.442,,,,,
97,09/05/19 11:00:00 AM,12.3540,82.508,,,,,
98,09/05/19 11:30:00 AM,12.3619,79.853,,,,,
99,09/05/19 12:00:00 PM,12.3606,81.266,,,,,
100,09/05/19 12:30:00 PM,12.3581,90.680,,,,,
101,09/05/19 01:00:00 PM,12.3614,83.757,,,,,
102,09/05/19 01:30:00 PM,12.3624,82.152,,,,,
103,09/05/19 02:00:00 PM,12.3547,80.735,,,,,
104,09/05/19 02:30:00 PM,12.3553,78.975,,,,,
105,09/05/19 03:00:00 PM,12.3563,77.400,,,,,
106,09/05/19 03:30:00 PM,12.3571,77.749,,,,,
107,09/05/19 04:00:00 PM,12.3485,76.006,,,,,
108,09/05/19 04:30:00 PM,12.3532,76.006,,,,,
109,09/05/19 05:00:00 PM,12.3503,74.791,,,,,
110,09/05/19 05:30:00 PM,12.3466,77.225,,,,,
111,09/05/19 06:00:00 PM,12.3476,75.659,,,,,
112,09/05/19 06:30:00 PM,12.3545,74.619,,,,,
113,09/05/19 07:00:00 PM,12.3543,72.545,,,,,
114,09/05/19 07:30:00 PM,12.3553,69.107,,,,,
115,09/05/19 08:00:00 PM,12.3539,64.652,,,,,
116,09/05/19 08:30:00 PM,12.3555,61.569,,,,,
117,09/05/19 09:00:00 PM,12.3620,58.647,,,,,
118,09/05/19 09:30:00 PM,12.3623,56.923,,,,,
119,09/05/19 10:00:00 PM,12.3668,55.017,,,,,
120,09/05/19 10:30:00 PM,12.3669,53.274,,,,,
121,09/05/19 11:00:00 PM,12.3629,51.699,,,,,
122,09/05/19 11:30:00 PM,12.3597,50.466,,,,,
123,09/06/19 12:00:00 AM,12.3611,49.228,,,,,
124,09/06/19 12:30:00 AM,12.3629,48.160,,,,,
125,09/06/19 01:00:00 AM,12.3555,47.088,,,,,
126,09/06/19 01:30:00 AM,12.3577,46.188,,,,,
127,09/06/19 02:00:00 AM,12.3558,45.466,,,,,
128,09/06/19 02:30:00 AM,12.3585,44.742,,,,,
