Date,baro.pressure_psi,baro.temp_F
2019-09-03 11:00:00,12.3563,96.361
2019-09-03 11:30:00,12.3604,89.569
2019-09-03 12:00:00,12.3579,92.737
2019-09-03 12:30:00,12.3536,90.68
2019-09-03 13:00:00,12.3549,89.2
2019-09-03 13:30:00,12.3527,90.309
2019-09-03 14:00:00,12.3481,90.309
2019-09-03 14:30:00,12.3489,90.68
2019-09-03 15:00:00,12.3418,89.569
2019-09-03 15:30:00,12.3387,88.099
2019-09-03 16:00:00,12.3346,84.115
2019-09-03 16:30:00,12.3346,84.115
2019-09-03 17:00:00,12.333,83.399
2019-09-03 17:30:00,12.3305,82.33
2019-09-03 18:00:00,12.324,81.442
2019-09-03 18:30:00,12.3318,78.8
2019-09-03 19:00:00,12.3276,74.964
2019-09-03 19:30:00,12.3315,68.763
2019-09-03 20:00:00,12.3346,62.425
2019-09-03 20:30:00,12.3369,57.785
2019-09-03 21:00:00,12.3382,54.669
2019-09-03 21:30:00,12.3413,52.225
2019-09-03 22:00:00,12.3408,50.29
2019-09-03 22:30:00,12.3408,48.517
2019-09-03 23:00:00,12.3366,46.908
2019-09-03 23:30:00,12.3426,45.648
2019-09-04 00:00:00,12.3397,44.56
2019-09-04 00:30:00,12.3459,43.466
2019-09-04 01:00:00,12.343,42.363
2019-09-04 01:30:00,12.3456,41.625
2019-09-04 02:00:00,12.3395,41.067
2019-09-04 02:30:00,12.3381,40.509
2019-09-04 03:00:00,12.3308,39.573
2019-09-04 03:30:00,12.334,39.007
2019-09-04 04:00:00,12.3324,38.44
2019-09-04 04:30:00,12.3308,37.87
2019-09-04 05:00:00,12.3334,37.107
2019-09-04 05:30:00,12.3328,36.914
2019-09-04 06:00:00,12.3318,36.531
2019-09-04 06:30:00,12.3313,36.338
2019-09-04 07:00:00,12.3359,36.338
2019-09-04 07:30:00,12.3375,36.914
2019-09-04 08:00:00,12.3472,38.818
2019-09-04 08:30:00,12.3434,42.548
2019-09-04 09:00:00,12.3372,48.871
2019-09-04 09:30:00,12.3416,69.107
2019-09-04 10:00:00,12.3414,83.043
2019-09-04 10:30:00,12.3331,81.442
2019-09-04 11:00:00,12.3355,80.382
2019-09-04 11:30:00,12.3402,93.115
2019-09-04 12:00:00,12.3385,94.444
2019-09-04 12:30:00,12.3333,91.987
2019-09-04 13:00:00,12.3318,89.2
2019-09-04 13:30:00,12.3313,91.053
2019-09-04 14:00:00,12.3253,88.282
2019-09-04 14:30:00,12.3207,88.282
2019-09-04 15:00:00,12.3233,87.368
2019-09-04 15:30:00,12.3233,87.368
2019-09-04 16:00:00,12.3191,83.399
2019-09-04 16:30:00,12.3195,83.579
2019-09-04 17:00:00,12.3137,83.043
2019-09-04 17:30:00,12.3141,83.221
2019-09-04 18:00:00,12.3128,86.823
2019-09-04 18:30:00,12.3143,85.374
2019-09-04 19:00:00,12.3214,78.274
2019-09-04 19:30:00,12.3144,73.234
2019-09-04 20:00:00,12.3278,69.107
2019-09-04 20:30:00,12.3262,66.537
2019-09-04 21:00:00,12.335,64.481
2019-09-04 21:30:00,12.3321,63.282
2019-09-04 22:00:00,12.3288,61.912
2019-09-04 22:30:00,12.3304,60.712
2019-09-04 23:00:00,12.3353,58.993
2019-09-04 23:30:00,12.3356,57.268
2019-09-05 00:00:00,12.336,57.441
2019-09-05 00:30:00,12.336,57.441
2019-09-05 01:00:00,12.3402,57.268
2019-09-05 01:30:00,12.3394,56.923
2019-09-05 02:00:00,12.3389,56.75
2019-09-05 02:30:00,12.3346,55.017
2019-09-05 03:00:00,12.3347,53.274
2019-09-05 03:30:00,12.3379,52.75
2019-09-05 04:00:00,12.3417,52.401
2019-09-05 04:30:00,12.3324,52.401
2019-09-05 05:00:00,12.3398,51.699
2019-09-05 05:30:00,12.34,49.937
2019-09-05 06:00:00,12.3459,48.695
2019-09-05 06:30:00,12.3523,47.624
2019-09-05 07:00:00,12.3458,46.908
2019-09-05 07:30:00,12.3514,47.266
2019-09-05 08:00:00,12.3555,48.871
2019-09-05 08:30:00,12.3532,51.523
2019-09-05 09:00:00,12.3565,56.404
2019-09-05 09:30:00,12.3526,64.139
2019-09-05 10:00:00,12.3527,75.832
2019-09-05 10:30:00,12.3563,81.442
2019-09-05 11:00:00,12.354,82.508
2019-09-05 11:30:00,12.3619,79.853
2019-09-05 12:00:00,12.3606,81.266
2019-09-05 12:30:00,12.3581,90.68
2019-09-05 13:00:00,12.3614,83.757
2019-09-05 13:30:00,12.3624,82.152
2019-09-05 14:00:00,12.3547,80.735
2019-09-05 14:30:00,12.3553,78.975
2019-09-05 15:00:00,12.3563,77.4
2019-09-05 15:30:00,12.3571,77.749
2019-09-05 16:00:00,12.3485,76.006
2019-09-05 16:30:00,12.3532,76.006
2019-09-05 17:00:00,12.3503,74.791
2019-09-05 17:30:00,12.3466,77.225
2019-09-05 18:00:00,12.3476,75.659
2019-09-05 18:30:00,12.3545,74.619
2019-09-05 19:00:00,12.3543,72.545
2019-09-05 19:30:00,12.3553,69.107
2019-09-05 20:00:00,12.3539,64.652
2019-09-05 20:30:00,12.3555,61.569
2019-09-05 21:00:00,12.362,58.647
2019-09-05 21:30:00,12.3623,56.923
2019-09-05 22:00:00,12.3668,55.017
2019-09-05 22:30:00,12.3669,53.274
2019-09-05 23:00:00,12.3629,51.699
2019-09-05 23:30:00,12.3597,50.466
2019-09-06 00:00:00,12.3611,49.228
2019-09-06 00:30:00,12.3629,48.16
2019-09-06 01:00:00,12.3555,47.088
2019-09-06 01:30:00,12.3577,46.188
2019-09-06 02:00:00,12.3558,45.466
2019-09-06 02:30:00,12.3585,44.742
2019-09-06 03:00:00,12.3561,43.831
2019-09-06 03:30:00,12.3536,42.915
2019-09-06 04:00:00,12.3558,41.994
2019-09-06 04:30:00,12.3584,41.254
2019-09-06 05:00:00,12.3563,40.509
2019-09-06 05:30:00,12.359,39.76
2019-09-06 06:00:00,12.3616,39.007
2019-09-06 06:30:00,12.364,38.25
