"Plot Title: 10995660"
"#","Date Time, GMT-08:00","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532287)","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532288)","Wind Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Gust Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Temp, °F (LGR S/N: 10995660, SEN S/N: 10553847)","RH, % (LGR S/N: 10995660, SEN S/N: 10553847)","Rain, in (LGR S/N: 10995660, SEN S/N: 10703556)","Snow Depth, inches (LGR S/N: 10995660, SEN S/N: 10933780)","Current, mA (LGR S/N: 10995660, SEN S/N: 10933780)"
2,12/11/18 02:00:00 PM,123.1,75.6,0.00,6.76,42.525,63.300,0.100,-0.52,0.0063
3,12/11/18 04:00:00 PM,25.6,15.6,0.00,2.82,35.830,83.700,0.010,-0.90,0.0063
4,12/11/18 06:00:00 PM,0.6,0.6,0.00,0.00,31.842,92.100,0.000,-0.77,0.0063
5,12/11/18 08:00:00 PM,0.6,0.6,0.00,0.00,32.043,94.200,0.000,-0.77,0.0063
6,12/11/18 10:00:00 PM,0.6,0.6,0.00,5.08,39.078,95.800,0.000,-0.90,0.0063
7,12/12/18 12:00:00 AM,0.6,0.6,0.00,7.31,37.081,96.200,0.010,-0.77,0.0063
8,12/12/18 02:00:00 AM,0.6,0.6,0.00,10.13,37.465,97.300,0.010,-1.02,0.0063
9,12/12/18 04:00:00 AM,0.6,0.6,0.00,6.20,34.419,96.700,0.000,-0.90,0.0063
10,12/12/18 06:00:00 AM,0.6,0.6,0.00,1.12,29.304,97.700,0.000,-0.77,0.0063
11,12/12/18 08:00:00 AM,13.1,8.1,0.00,4.50,28.008,97.300,0.000,-0.65,0.0063
12,12/12/18 10:00:00 AM,53.1,80.6,0.00,6.76,37.369,70.400,0.000,-0.65,0.0063
13,12/12/18 12:00:00 PM,175.6,120.6,1.12,11.27,43.214,38.300,0.000,-0.90,0.0063
14,12/12/18 02:00:00 PM,56.9,41.9,1.12,10.69,45.127,31.000,0.000,-1.14,0.0063
15,12/12/18 04:00:00 PM,20.6,11.9,0.00,7.31,36.459,63.900,0.000,-1.02,0.0063
16,12/12/18 06:00:00 PM,0.6,0.6,0.00,0.00,28.735,82.000,0.000,-0.77,0.0063
17,12/12/18 08:00:00 PM,0.6,0.6,0.00,0.00,25.471,84.500,0.000,-0.52,0.0063
18,12/12/18 10:00:00 PM,0.6,0.6,0.00,0.00,23.409,88.500,0.000,-0.52,0.0063
19,12/13/18 12:00:00 AM,0.6,0.6,0.00,0.00,22.080,89.400,0.000,-0.52,0.0063
20,12/13/18 02:00:00 AM,0.6,0.6,0.00,0.00,22.746,91.700,0.000,-0.40,0.0063
21,12/13/18 04:00:00 AM,0.6,0.6,0.00,2.26,23.846,86.000,0.000,-0.52,0.0063
22,12/13/18 06:00:00 AM,0.6,0.6,0.00,0.00,21.011,91.600,0.000,-0.28,0.0063
23,12/13/18 08:00:00 AM,13.1,6.9,0.00,0.00,21.182,93.300,0.000,-0.40,0.0063
24,12/13/18 10:00:00 AM,48.1,81.9,0.00,3.94,36.842,62.000,0.000,-0.65,0.0063
25,12/13/18 12:00:00 PM,183.1,119.4,0.56,10.13,42.984,46.700,0.000,-1.02,0.0063
26,12/13/18 02:00:00 PM,61.9,35.6,0.56,8.46,46.256,39.200,0.000,-1.27,0.0063
27,12/13/18 04:00:00 PM,15.6,9.4,0.00,4.50,37.465,66.200,0.000,-1.39,0.0063
28,12/13/18 06:00:00 PM,0.6,0.6,0.00,0.00,28.112,87.100,0.000,-1.02,0.0063
29,12/13/18 08:00:00 PM,0.6,0.6,0.00,0.00,25.578,89.500,0.000,-1.02,0.0063
30,12/13/18 10:00:00 PM,0.6,0.6,0.00,0.56,24.609,92.400,0.000,-0.77,0.0063
31,12/14/18 12:00:00 AM,0.6,0.6,0.00,1.12,23.133,93.700,0.000,-0.90,0.0063
32,12/14/18 02:00:00 AM,0.6,0.6,0.00,1.70,22.968,93.900,0.000,-1.02,0.0063
33,12/14/18 04:00:00 AM,0.6,0.6,0.00,1.70,22.690,94.600,0.000,-0.90,0.0063
34,12/14/18 06:00:00 AM,0.6,0.6,0.00,1.12,22.858,94.500,0.000,-0.90,0.0063
35,12/14/18 08:00:00 AM,20.6,10.6,0.00,2.82,24.825,92.000,0.000,-1.02,0.0063
36,12/14/18 10:00:00 AM,64.4,80.6,0.00,6.20,39.267,67.500,0.000,-1.02,0.0063
37,12/14/18 12:00:00 PM,150.6,81.9,2.26,16.33,41.787,61.900,0.000,-1.39,0.0063
38,12/14/18 02:00:00 PM,53.1,28.1,2.82,15.21,41.554,70.600,0.000,-0.90,0.0063
39,12/14/18 04:00:00 PM,5.6,1.9,0.00,7.90,35.006,96.000,0.220,-1.52,0.0063
40,12/14/18 06:00:00 PM,0.6,0.6,0.00,5.08,35.782,98.200,0.160,-1.39,0.0063
41,12/14/18 08:00:00 PM,0.6,0.6,0.00,3.38,36.698,99.000,0.080,-1.52,0.0063
42,12/14/18 10:00:00 PM,0.6,0.6,0.00,1.12,37.274,99.500,0.120,-1.52,0.0063
43,12/15/18 12:00:00 AM,0.6,0.6,0.00,3.94,36.939,99.800,0.080,-1.52,0.0063
44,12/15/18 02:00:00 AM,0.6,0.6,0.00,3.94,37.130,100.000,0.050,-1.77,0.0063
45,12/15/18 04:00:00 AM,0.6,0.6,0.00,0.00,34.027,100.000,0.050,-1.64,0.0063
46,12/15/18 06:00:00 AM,0.6,0.6,0.00,0.00,33.831,100.000,0.040,-1.77,0.0063
47,12/15/18 08:00:00 AM,10.6,4.4,0.00,0.00,33.831,100.000,0.020,-1.77,0.0063
48,12/15/18 10:00:00 AM,161.9,84.4,0.00,5.64,39.690,100.000,0.030,-1.77,0.0063
49,12/15/18 12:00:00 PM,113.1,59.4,0.00,2.82,39.078,99.800,0.010,-1.89,0.0063
50,12/15/18 02:00:00 PM,76.9,40.6,0.00,3.38,39.454,98.900,0.000,-2.14,0.0063
51,12/15/18 04:00:00 PM,11.9,5.6,0.00,1.70,37.513,99.400,0.000,-2.14,0.0063
52,12/15/18 06:00:00 PM,0.6,0.6,0.00,1.12,34.371,100.000,0.000,-1.89,0.0063
53,12/15/18 08:00:00 PM,0.6,0.6,0.00,0.00,31.842,100.000,0.000,-1.89,0.0063
54,12/15/18 10:00:00 PM,0.6,0.6,0.00,0.56,30.326,100.000,0.000,-1.89,0.0063
55,12/16/18 12:00:00 AM,0.6,0.6,0.00,0.56,30.987,100.000,0.000,-1.89,0.0063
56,12/16/18 02:00:00 AM,0.6,0.6,0.00,2.82,32.243,100.000,0.000,-1.89,0.0063
57,12/16/18 04:00:00 AM,0.6,0.6,0.00,5.08,35.589,100.000,0.000,-2.01,0.0063
58,12/16/18 06:00:00 AM,0.6,0.6,0.00,2.82,36.266,100.000,0.000,-1.89,0.0063
59,12/16/18 08:00:00 AM,15.6,8.1,0.00,6.76,37.369,99.100,0.000,-2.01,0.0063
60,12/16/18 10:00:00 AM,80.6,39.4,0.00,4.50,40.064,99.700,0.020,-2.26,0.0063
61,12/16/18 12:00:00 PM,281.9,135.6,0.00,15.21,41.416,95.700,0.050,-2.39,0.0063
62,12/16/18 02:00:00 PM,31.9,14.4,0.00,10.13,39.267,96.900,0.050,-2.63,0.0063
63,12/16/18 04:00:00 PM,0.6,0.6,0.00,12.39,38.084,100.000,0.530,-2.63,0.0063
64,12/16/18 06:00:00 PM,0.6,0.6,0.00,7.31,34.713,100.000,0.290,-2.63,0.0063
65,12/16/18 08:00:00 PM,0.6,0.6,0.00,2.82,33.435,100.000,0.230,-2.51,0.0063
66,12/16/18 10:00:00 PM,0.6,0.6,0.00,5.08,34.174,100.000,0.100,-2.51,0.0063
67,12/17/18 12:00:00 AM,0.6,0.6,0.00,3.38,31.942,100.000,0.040,-3.75,0.0063
68,12/17/18 02:00:00 AM,0.6,0.6,0.00,0.00,31.942,100.000,0.000,-1.77,0.0063
69,12/17/18 04:00:00 AM,0.6,0.6,0.00,0.00,31.892,100.000,0.000,-0.28,0.0063
70,12/17/18 06:00:00 AM,0.6,0.6,0.00,0.00,31.942,100.000,0.000,-0.15,0.0063
71,12/17/18 08:00:00 AM,1.9,9.4,0.00,0.00,31.541,100.000,0.000,-0.28,0.0063
72,12/17/18 10:00:00 AM,34.4,111.9,0.00,0.00,33.633,100.000,0.000,-0.28,0.0063
73,12/17/18 12:00:00 PM,131.9,136.9,0.00,5.64,37.942,97.000,0.000,-0.52,0.0063
74,12/17/18 02:00:00 PM,69.4,41.9,0.00,1.12,36.891,97.600,0.170,-0.65,0.0063
75,12/17/18 04:00:00 PM,15.6,9.4,0.00,1.70,34.858,100.000,0.150,-0.52,0.0063
76,12/17/18 06:00:00 PM,0.6,0.6,0.00,0.00,32.491,100.000,0.020,-0.52,0.0063
77,12/17/18 08:00:00 PM,0.6,0.6,0.00,0.00,31.591,100.000,0.020,-0.52,0.0063
78,12/17/18 10:00:00 PM,0.6,0.6,0.00,0.00,31.791,100.000,0.000,-0.65,0.0063
79,12/18/18 12:00:00 AM,0.6,0.6,0.00,0.00,31.842,100.000,0.000,-0.77,0.0063
80,12/18/18 02:00:00 AM,0.6,0.6,0.00,0.00,31.791,100.000,0.000,-0.65,0.0063
81,12/18/18 04:00:00 AM,0.6,0.6,0.00,0.00,31.692,100.000,0.000,-0.77,0.0063
82,12/18/18 06:00:00 AM,0.6,0.6,0.00,0.00,31.138,100.000,0.000,-0.77,0.0063
83,12/18/18 08:00:00 AM,19.4,10.6,0.00,0.00,31.339,100.000,0.000,-0.65,0.0063
84,12/18/18 10:00:00 AM,131.9,78.1,0.00,0.56,36.120,100.000,0.010,-0.77,0.0063
85,12/18/18 12:00:00 PM,138.1,73.1,0.00,2.82,42.156,92.800,0.180,-1.02,0.0063
86,12/18/18 02:00:00 PM,121.9,65.6,0.00,3.94,39.783,98.000,0.090,-1.02,0.0063
87,12/18/18 04:00:00 PM,13.1,6.9,0.00,1.70,37.942,100.000,0.020,-1.14,0.0063
88,12/18/18 06:00:00 PM,0.6,0.6,0.00,0.56,35.346,100.000,0.050,-1.14,0.0063
89,12/18/18 08:00:00 PM,0.6,0.6,0.00,0.00,34.713,100.000,0.020,-1.14,0.0063
90,12/18/18 10:00:00 PM,0.6,0.6,0.00,2.82,39.736,100.000,0.010,-1.52,0.0063
91,12/19/18 12:00:00 AM,0.6,0.6,0.00,3.94,39.454,100.000,0.010,-1.64,0.0063
92,12/19/18 02:00:00 AM,0.6,0.6,0.00,0.56,34.615,100.000,0.010,-1.64,0.0063
93,12/19/18 04:00:00 AM,0.6,0.6,0.00,0.00,34.075,100.000,0.010,-1.39,0.0063
94,12/19/18 06:00:00 AM,0.6,0.6,0.00,0.00,33.584,100.000,0.000,-1.52,0.0063
95,12/19/18 08:00:00 AM,16.9,8.1,0.00,0.00,33.584,100.000,0.000,-1.39,0.0063
96,12/19/18 10:00:00 AM,73.1,36.9,0.00,5.08,36.505,100.000,0.000,-1.77,0.0063
97,12/19/18 12:00:00 PM,140.6,69.4,0.00,3.94,37.609,100.000,0.000,-1.77,0.0063
98,12/19/18 02:00:00 PM,61.9,31.9,0.00,4.50,42.386,96.500,0.000,-2.14,0.0063
99,12/19/18 04:00:00 PM,20.6,9.4,0.00,4.50,38.700,98.400,0.000,-2.26,0.0063
100,12/19/18 06:00:00 PM,0.6,0.6,0.00,0.00,30.987,100.000,0.000,-2.14,0.0063
101,12/19/18 08:00:00 PM,0.6,0.6,0.00,0.56,29.611,100.000,0.000,-2.01,0.0063
