"Plot Title: 10995660"
"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532287)","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532288)","Wind Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Gust Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Temp, °F (LGR S/N: 10995660, SEN S/N: 10553847)","RH, % (LGR S/N: 10995660, SEN S/N: 10553847)","Rain, in (LGR S/N: 10995660, SEN S/N: 10703556)","Snow Depth, inches (LGR S/N: 10995660, SEN S/N: 10933780)","Current, mA (LGR S/N: 10995660, SEN S/N: 10933780)"
1,04/21/18 10:00:00 AM,758.1,98.1,0.00,4.50,58.885,56.200,,-4.50,0.0063
2,04/21/18 12:00:00 PM,1028.1,135.6,1.12,9.01,65.530,39.300,0.000,-4.62,0.0063
3,04/21/18 02:00:00 PM,996.9,136.9,1.12,7.31,71.060,31.000,0.000,-5.49,0.0063
4,04/21/18 04:00:00 PM,561.9,33.1,0.56,8.46,69.728,35.200,0.000,-4.87,0.0063
5,04/21/18 06:00:00 PM,33.1,4.4,1.12,7.31,64.288,37.700,0.000,-5.24,0.0063
6,04/21/18 08:00:00 PM,0.6,0.6,0.00,3.94,51.458,65.400,0.000,-4.87,0.0063
7,04/21/18 10:00:00 PM,0.6,0.6,0.00,0.00,42.247,82.200,0.000,-4.00,0.0063
8,04/22/18 12:00:00 AM,0.6,0.6,0.00,0.00,36.025,90.700,0.000,-3.50,0.0063
9,04/22/18 02:00:00 AM,0.6,0.6,0.00,0.00,32.342,93.600,0.000,-3.38,0.0063
10,04/22/18 04:00:00 AM,0.6,0.6,0.00,0.00,29.611,94.900,0.000,-3.38,0.0063
11,04/22/18 06:00:00 AM,0.6,0.6,0.00,0.00,28.787,95.900,0.000,-3.13,0.0063
12,04/22/18 08:00:00 AM,45.6,5.6,0.00,0.00,32.092,96.100,0.000,-3.13,0.0063
13,04/22/18 10:00:00 AM,769.4,103.1,0.00,2.82,57.160,54.500,0.000,-4.00,0.0063
14,04/22/18 12:00:00 PM,593.1,81.9,0.56,6.20,65.359,33.300,0.000,-4.37,0.0063
15,04/22/18 02:00:00 PM,691.9,98.1,1.12,10.13,66.515,35.500,0.000,-4.50,0.0063
16,04/22/18 04:00:00 PM,278.1,31.9,1.12,7.90,64.931,31.200,0.000,-4.25,0.0063
17,04/22/18 06:00:00 PM,38.1,5.6,0.56,7.90,61.934,31.900,0.000,-4.62,0.0063
18,04/22/18 08:00:00 PM,0.6,0.6,0.00,3.38,48.850,62.300,0.000,-4.50,0.0063
19,04/22/18 10:00:00 PM,0.6,0.6,0.00,0.00,40.579,79.800,0.000,-4.00,0.0063
20,04/23/18 12:00:00 AM,0.6,0.6,0.00,0.00,35.443,88.800,0.000,-3.75,0.0063
21,04/23/18 02:00:00 AM,0.6,0.6,0.00,0.00,31.491,92.900,0.000,-3.38,0.0063
22,04/23/18 04:00:00 AM,0.6,0.6,0.00,0.56,29.611,94.200,0.000,-3.38,0.0063
23,04/23/18 06:00:00 AM,0.6,0.6,0.00,0.00,28.839,95.100,0.000,-3.50,0.0063
24,04/23/18 08:00:00 AM,53.1,5.6,0.00,3.38,39.690,78.700,0.000,-3.50,0.0063
