"Plot Title: 10995660"
"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532287)","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532288)","Wind Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Gust Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Temp, °F (LGR S/N: 10995660, SEN S/N: 10553847)","RH, % (LGR S/N: 10995660, SEN S/N: 10553847)","Rain, in (LGR S/N: 10995660, SEN S/N: 10703556)","Snow Depth, inches (LGR S/N: 10995660, SEN S/N: 10933780)","Current, mA (LGR S/N: 10995660, SEN S/N: 10933780)"
1,04/24/19 04:30:00 PM,101.9,14.4,1.12,9.01,72.093,32.500,,-4.87,0.0063
2,04/24/19 05:00:00 PM,54.4,13.1,0.56,7.31,71.490,32.800,0.000,-4.87,0.0063
3,04/24/19 05:30:00 PM,56.9,9.4,0.56,6.20,70.673,31.700,0.000,-4.87,0.0063
4,04/24/19 06:00:00 PM,41.9,5.6,0.00,6.20,68.614,36.500,0.000,-4.99,0.0063
5,04/24/19 06:30:00 PM,39.4,4.4,0.00,3.38,67.285,41.400,0.000,-4.75,0.0063
6,04/24/19 07:00:00 PM,20.6,1.9,0.00,1.12,65.444,47.500,0.000,-4.75,0.0063
7,04/24/19 07:30:00 PM,5.6,0.6,0.00,0.56,60.948,58.800,0.000,-4.62,0.0063
8,04/24/19 08:00:00 PM,0.6,0.6,0.00,0.00,55.949,69.200,0.000,-4.50,0.0063
9,04/24/19 08:30:00 PM,0.6,0.6,0.00,0.00,51.193,74.900,0.000,-4.37,0.0063
10,04/24/19 09:00:00 PM,0.6,0.6,0.00,0.00,48.182,78.800,0.000,-4.62,0.0063
11,04/24/19 09:30:00 PM,0.6,0.6,0.00,0.00,46.436,82.400,0.000,-4.37,0.0063
12,04/24/19 10:00:00 PM,0.6,0.6,0.00,0.00,44.582,85.500,0.000,-4.25,0.0063
13,04/24/19 10:30:00 PM,0.6,0.6,0.00,0.00,43.122,87.800,0.000,-4.12,0.0063
14,04/24/19 11:00:00 PM,0.6,0.6,0.00,0.00,41.878,88.900,0.000,-4.12,0.0063
15,04/24/19 11:30:00 PM,0.6,0.6,0.00,0.00,40.719,90.300,0.000,-4.12,0.0063
16,04/25/19 12:00:00 AM,0.6,0.6,0.00,0.00,39.783,91.500,0.000,-4.00,0.0063
17,04/25/19 12:30:00 AM,0.6,0.6,0.00,0.00,39.173,92.100,0.000,-4.00,0.0063
18,04/25/19 01:00:00 AM,0.6,0.6,0.00,0.00,38.511,92.600,0.000,-4.12,0.0063
19,04/25/19 01:30:00 AM,0.6,0.6,0.00,0.00,37.893,93.000,0.000,-4.12,0.0063
20,04/25/19 02:00:00 AM,0.6,0.6,0.00,0.00,37.369,93.300,0.000,-4.12,0.0063
21,04/25/19 02:30:00 AM,0.6,0.6,0.00,0.00,36.842,93.800,0.000,-4.12,0.0063
22,04/25/19 03:00:00 AM,0.6,0.6,0.00,0.00,36.217,94.100,0.000,-4.00,0.0063
23,04/25/19 03:30:00 AM,0.6,0.6,0.00,0.00,35.638,94.600,0.000,-4.25,0.0063
24,04/25/19 04:00:00 AM,0.6,0.6,0.00,0.00,35.395,94.800,0.000,-4.12,0.0063
25,04/25/19 04:30:00 AM,0.6,0.6,0.00,0.00,35.152,94.900,0.000,-4.12,0.0063
26,04/25/19 05:00:00 AM,0.6,0.6,0.00,0.00,34.810,95.100,0.000,-4.12,0.0063
27,04/25/19 05:30:00 AM,0.6,0.6,0.00,0.00,34.565,95.500,0.000,-4.12,0.0063
28,04/25/19 06:00:00 AM,0.6,0.6,0.00,0.00,34.223,95.600,0.000,-4.12,0.0063
29,04/25/19 06:30:00 AM,4.4,0.6,0.00,0.00,34.027,95.900,0.000,-4.25,0.0063
30,04/25/19 07:00:00 AM,8.1,0.6,0.00,0.00,34.320,96.100,0.000,-4.12,0.0063
