"Plot Title: Control Meadow 080715"
"#","Date Time, GMT-08:00","Solar Radiation, W/m² (LGR S/N: 10529094, SEN S/N: 10992412)","Wind Speed, mph (LGR S/N: 10529094, SEN S/N: 20677707)","Gust Speed, mph (LGR S/N: 10529094, SEN S/N: 20677707)","Temp, °F (LGR S/N: 10529094, SEN S/N: 20692760)","RH, % (LGR S/N: 10529094, SEN S/N: 20692760)"
1,12/08/19 03:00:00 PM,36.9,0.00,1.12,40.905,98.500
2,12/08/19 03:30:00 PM,30.6,0.00,0.00,39.783,99.500
3,12/08/19 04:00:00 PM,43.1,0.00,0.00,39.454,100.000
4,12/08/19 04:30:00 PM,28.1,0.00,0.00,37.465,100.000
5,12/08/19 05:00:00 PM,0.6,0.00,0.00,36.459,100.000
6,12/08/19 05:30:00 PM,0.6,0.00,0.00,35.638,100.000
7,12/08/19 06:00:00 PM,0.6,0.00,0.00,35.103,100.000
8,12/08/19 06:30:00 PM,0.6,0.00,0.00,34.565,100.000
9,12/08/19 07:00:00 PM,0.6,0.00,0.00,34.320,100.000
10,12/08/19 07:30:00 PM,0.6,0.00,0.00,34.320,100.000
11,12/08/19 08:00:00 PM,0.6,0.00,0.00,34.223,100.000
12,12/08/19 08:30:00 PM,0.6,0.00,0.00,34.223,100.000
13,12/08/19 09:00:00 PM,0.6,0.00,0.00,33.831,100.000
14,12/08/19 09:30:00 PM,0.6,0.00,0.00,32.542,100.000
15,12/08/19 10:00:00 PM,0.6,0.00,0.00,30.987,100.000
16,12/08/19 10:30:00 PM,0.6,0.00,0.00,31.289,100.000
17,12/08/19 11:00:00 PM,0.6,0.00,2.26,31.087,100.000
18,12/08/19 11:30:00 PM,0.6,0.00,1.12,30.682,100.000
19,12/09/19 12:00:00 AM,0.6,0.00,1.12,30.276,100.000
20,12/09/19 12:30:00 AM,0.6,0.00,0.00,29.611,100.000
21,12/09/19 01:00:00 AM,0.6,0.00,1.12,29.917,100.000
22,12/09/19 01:30:00 AM,0.6,0.00,2.26,30.020,100.000
23,12/09/19 02:00:00 AM,0.6,0.00,1.12,29.611,100.000
24,12/09/19 02:30:00 AM,0.6,0.00,0.00,29.354,100.000
25,12/09/19 03:00:00 AM,0.6,0.00,1.12,29.097,100.000
26,12/09/19 03:30:00 AM,0.6,0.00,1.12,29.149,100.000
27,12/09/19 04:00:00 AM,0.6,0.00,2.26,28.787,100.000
28,12/09/19 04:30:00 AM,0.6,0.00,1.12,28.528,100.000
29,12/09/19 05:00:00 AM,0.6,0.00,1.12,28.580,100.000
30,12/09/19 05:30:00 AM,0.6,0.00,0.00,28.112,100.000
31,12/09/19 06:00:00 AM,0.6,0.00,0.00,27.171,100.000
32,12/09/19 06:30:00 AM,0.6,0.00,1.12,26.854,100.000
33,12/09/19 07:00:00 AM,0.6,0.00,0.00,26.537,100.000
34,12/09/19 07:30:00 AM,3.1,0.00,0.00,25.898,100.000
35,12/09/19 08:00:00 AM,14.4,0.00,0.00,25.952,100.000
36,12/09/19 08:30:00 AM,20.6,0.00,3.38,26.589,100.000
37,12/09/19 09:00:00 AM,30.6,0.00,3.38,29.714,100.000
38,12/09/19 09:30:00 AM,36.9,0.00,3.38,31.942,99.200
39,12/09/19 10:00:00 AM,116.9,0.00,4.50,34.516,96.800
40,12/09/19 10:30:00 AM,413.1,0.00,4.50,41.184,86.800
41,12/09/19 11:00:00 AM,435.6,0.00,5.64,42.156,83.500
42,12/09/19 11:30:00 AM,173.1,1.12,7.87,40.764,75.700
43,12/09/19 12:00:00 PM,95.6,0.00,5.64,41.878,77.900
44,12/09/19 12:30:00 PM,433.1,0.00,6.76,45.354,74.400
45,12/09/19 01:00:00 PM,113.1,0.00,4.50,43.945,72.900
46,12/09/19 01:30:00 PM,73.1,0.00,5.64,43.624,70.700
