Date,solar.rad_1,wind_speed,gust_speed,temp_F,RH,solar.rad_2,rain_in,snowdepth_in,current,baro.pressure_psi,baro.temp_F
2018-04-21 10:00:00,758.1,0,4.5,58.885,56.2,98.1,NA,-4.5,0.0063,NA,NA
2018-04-21 12:00:00,1028.1,1.12,9.01,65.53,39.3,135.6,0,-4.62,0.0063,NA,NA
2018-04-21 14:00:00,996.9,1.12,7.31,71.06,31,136.9,0,-5.49,0.0063,NA,NA
2018-04-21 16:00:00,561.9,0.56,8.46,69.728,35.2,33.1,0,-4.87,0.0063,NA,NA
2018-04-21 18:00:00,33.1,1.12,7.31,64.288,37.7,4.4,0,-5.24,0.0063,NA,NA
2018-04-21 20:00:00,0.6,0,3.94,51.458,65.4,0.6,0,-4.87,0.0063,NA,NA
2018-04-21 22:00:00,0.6,0,0,42.247,82.2,0.6,0,-4,0.0063,NA,NA
2018-04-22 00:00:00,0.6,0,0,36.025,90.7,0.6,0,-3.5,0.0063,NA,NA
2018-04-22 02:00:00,0.6,0,0,32.342,93.6,0.6,0,-3.38,0.0063,NA,NA
2018-04-22 04:00:00,0.6,0,0,29.611,94.9,0.6,0,-3.38,0.0063,NA,NA
2018-04-22 06:00:00,0.6,0,0,28.787,95.9,0.6,0,-3.13,0.0063,NA,NA
2018-04-22 08:00:00,45.6,0,0,32.092,96.1,5.6,0,-3.13,0.0063,NA,NA
2018-04-22 10:00:00,769.4,0,2.82,57.16,54.5,103.1,0,-4,0.0063,NA,NA
2018-04-22 12:00:00,593.1,0.56,6.2,65.359,33.3,81.9,0,-4.37,0.0063,NA,NA
2018-04-22 14:00:00,691.9,1.12,10.13,66.515,35.5,98.1,0,-4.5,0.0063,NA,NA
2018-04-22 16:00:00,278.1,1.12,7.9,64.931,31.2,31.9,0,-4.25,0.0063,NA,NA
2018-04-22 18:00:00,38.1,0.56,7.9,61.934,31.9,5.6,0,-4.62,0.0063,NA,NA
2018-04-22 20:00:00,0.6,0,3.38,48.85,62.3,0.6,0,-4.5,0.0063,NA,NA
2018-04-22 22:00:00,0.6,0,0,40.579,79.8,0.6,0,-4,0.0063,NA,NA
2018-04-23 00:00:00,0.6,0,0,35.443,88.8,0.6,0,-3.75,0.0063,NA,NA
2018-04-23 02:00:00,0.6,0,0,31.491,92.9,0.6,0,-3.38,0.0063,NA,NA
2018-04-23 04:00:00,0.6,0,0.56,29.611,94.2,0.6,0,-3.38,0.0063,NA,NA
2018-04-23 06:00:00,0.6,0,0,28.839,95.1,0.6,0,-3.5,0.0063,NA,NA
2018-04-23 08:00:00,53.1,0,3.38,39.69,78.7,5.6,0,-3.5,0.0063,NA,NA
2018-04-23 10:00:00,766.9,0.56,8.46,53.994,42.7,108.1,0,-4,0.0063,NA,NA
2018-04-23 12:00:00,1041.9,1.7,13.51,62.49,33,146.9,0,-4.37,0.0063,NA,NA
