"Plot Title: RCclimate"
"#","Date Time, GMT-07:00","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532287)","Solar Radiation, W/m² (LGR S/N: 10995660, SEN S/N: 10532288)","Wind Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Gust Speed, mph (LGR S/N: 10995660, SEN S/N: 10532399)","Temp, °F (LGR S/N: 10995660, SEN S/N: 10553847)","RH, % (LGR S/N: 10995660, SEN S/N: 10553847)","Rain, in (LGR S/N: 10995660, SEN S/N: 10703556)","Snow Depth, inches (LGR S/N: 10995660, SEN S/N: 10933780)","Current, mA (LGR S/N: 10995660, SEN S/N: 10933780)"
1,09/04/19 05:30:00 PM,114.4,43.1,0.00,2.26,81.509,28.800,,-8.59,0.0063
2,09/04/19 06:00:00 PM,148.1,30.6,0.00,2.26,81.554,29.100,0.000,-9.09,0.0063
3,09/04/19 06:30:00 PM,101.9,20.6,0.00,2.82,79.788,31.300,0.000,-10.33,0.0063
4,09/04/19 07:00:00 PM,34.4,6.9,0.00,0.00,75.160,39.600,0.000,-10.33,0.0063
5,09/04/19 07:30:00 PM,0.6,0.6,0.00,0.00,71.017,48.900,0.000,-10.21,0.0063
6,09/04/19 08:00:00 PM,0.6,0.6,0.00,0.00,67.798,54.600,0.000,-10.33,0.0063
7,09/04/19 08:30:00 PM,0.6,0.6,0.00,0.00,65.444,59.300,0.000,-9.96,0.0063
8,09/04/19 09:00:00 PM,0.6,0.6,0.00,0.00,63.648,61.900,0.000,-9.59,0.0063
9,09/04/19 09:30:00 PM,0.6,0.6,0.00,0.00,62.875,63.700,0.000,-9.84,0.0063
10,09/04/19 10:00:00 PM,0.6,0.6,0.00,0.00,61.462,66.100,0.000,-9.96,0.0063
11,09/04/19 10:30:00 PM,0.6,0.6,0.00,0.00,60.132,68.500,0.000,-9.84,0.0063
12,09/04/19 11:00:00 PM,0.6,0.6,0.00,0.00,57.936,70.300,0.000,-9.59,0.0063
13,09/04/19 11:30:00 PM,0.6,0.6,0.00,0.00,56.815,71.900,0.000,-9.46,0.0063
14,09/05/19 12:00:00 AM,0.6,0.6,0.00,0.00,57.893,72.100,0.000,-9.46,0.0063
15,09/05/19 12:30:00 AM,0.6,0.6,0.00,0.00,57.549,71.500,0.000,-9.71,0.0063
16,09/05/19 01:00:00 AM,0.6,0.6,0.00,0.00,57.247,72.700,0.000,-9.46,0.0063
17,09/05/19 01:30:00 AM,0.6,0.6,0.00,0.00,56.901,73.600,0.000,-9.46,0.0063
18,09/05/19 02:00:00 AM,0.6,0.6,0.00,0.00,56.685,73.400,0.000,-9.59,0.0063
19,09/05/19 02:30:00 AM,0.6,0.6,0.00,0.00,54.300,75.300,0.000,-9.71,0.0063
20,09/05/19 03:00:00 AM,0.6,0.6,0.00,0.00,52.686,78.700,0.000,-9.84,0.0063
21,09/05/19 03:30:00 AM,0.6,0.6,0.00,0.00,53.035,80.200,0.000,-9.71,0.0063
22,09/05/19 04:00:00 AM,0.6,0.6,0.00,0.00,52.203,80.400,0.000,-9.71,0.0063
23,09/05/19 04:30:00 AM,0.6,0.6,0.00,0.00,52.772,81.100,0.000,-9.59,0.0063
24,09/05/19 05:00:00 AM,0.6,0.6,0.00,0.00,51.017,81.800,0.000,-9.59,0.0063
25,09/05/19 05:30:00 AM,0.6,0.6,0.00,0.00,49.338,84.500,0.000,-9.59,0.0063
26,09/05/19 06:00:00 AM,0.6,0.6,0.00,0.00,48.182,86.500,0.000,-9.46,0.0063
27,09/05/19 06:30:00 AM,0.6,0.6,0.00,0.00,47.109,88.300,0.000,-9.59,0.0063
28,09/05/19 07:00:00 AM,9.4,0.6,0.00,0.00,46.751,89.400,0.000,-9.46,0.0063
29,09/05/19 07:30:00 AM,18.1,3.1,0.00,0.00,47.377,89.700,0.000,-9.59,0.0063
30,09/05/19 08:00:00 AM,16.9,3.1,0.00,0.00,49.249,89.300,0.000,-9.59,0.0063
31,09/05/19 08:30:00 AM,34.4,9.4,0.00,0.00,52.160,88.400,0.000,-9.59,0.0063
32,09/05/19 09:00:00 AM,55.6,19.4,0.00,0.00,57.247,86.500,0.000,-9.59,0.0063
33,09/05/19 09:30:00 AM,349.4,50.6,0.00,0.00,64.204,83.200,0.000,-9.46,0.0063
34,09/05/19 10:00:00 AM,211.9,45.6,0.00,1.12,73.861,70.400,0.000,-9.84,0.0063
35,09/05/19 10:30:00 AM,141.9,74.4,0.00,2.26,76.636,51.600,0.000,-9.71,0.0063
36,09/05/19 11:00:00 AM,158.1,39.4,0.00,7.31,78.296,44.700,0.000,-9.96,0.0063
37,09/05/19 11:30:00 AM,859.4,141.9,0.00,3.94,77.684,43.000,0.000,-9.34,0.0063
38,09/05/19 12:00:00 PM,436.9,90.6,0.00,5.08,78.514,43.800,0.000,-9.59,0.0063
39,09/05/19 12:30:00 PM,1034.4,216.9,0.00,6.20,85.352,39.600,0.000,-10.70,0.0063
40,09/05/19 01:00:00 PM,1210.6,249.4,0.56,9.01,80.449,36.100,0.000,-9.96,0.0063
41,09/05/19 01:30:00 PM,193.1,40.6,0.56,7.90,78.777,37.700,0.000,-9.46,0.0063
42,09/05/19 02:00:00 PM,251.9,51.9,0.56,6.20,78.076,38.100,0.000,-9.34,0.0063
43,09/05/19 02:30:00 PM,158.1,31.9,0.00,6.20,76.942,41.000,0.000,-9.21,0.0063
44,09/05/19 03:00:00 PM,216.9,44.4,0.00,3.38,75.204,40.600,0.000,-9.59,0.0063
45,09/05/19 03:30:00 PM,140.6,28.1,0.00,5.64,75.767,41.100,0.000,-9.84,0.0063
46,09/05/19 04:00:00 PM,104.4,21.9,0.00,6.20,74.813,43.100,0.000,-9.34,0.0063
47,09/05/19 04:30:00 PM,113.1,21.9,0.00,6.20,74.770,42.700,0.000,-9.09,0.0063
48,09/05/19 05:00:00 PM,70.6,14.4,0.00,7.31,73.602,42.600,0.000,-9.21,0.0063
49,09/05/19 05:30:00 PM,108.1,43.1,0.56,6.20,76.246,41.000,0.000,-9.71,0.0063
