Date,solar.rad_1,solar.rad_2,wind_speed,gust_speed,temp_F,RH,rain_in,snowdepth_in,current,baro.pressure_psi,baro.temp_F
2019-09-04 17:30:00,114.4,43.1,0,2.26,81.509,28.8,NA,-8.59,0.0063,12.3141,83.221
2019-09-04 18:00:00,148.1,30.6,0,2.26,81.554,29.1,0,-9.09,0.0063,12.3128,86.823
2019-09-04 18:30:00,101.9,20.6,0,2.82,79.788,31.3,0,-10.33,0.0063,12.3143,85.374
2019-09-04 19:00:00,34.4,6.9,0,0,75.16,39.6,0,-10.33,0.0063,12.3214,78.274
2019-09-04 19:30:00,0.6,0.6,0,0,71.017,48.9,0,-10.21,0.0063,12.3144,73.234
2019-09-04 20:00:00,0.6,0.6,0,0,67.798,54.6,0,-10.33,0.0063,12.3278,69.107
2019-09-04 20:30:00,0.6,0.6,0,0,65.444,59.3,0,-9.96,0.0063,12.3262,66.537
2019-09-04 21:00:00,0.6,0.6,0,0,63.648,61.9,0,-9.59,0.0063,12.335,64.481
2019-09-04 21:30:00,0.6,0.6,0,0,62.875,63.7,0,-9.84,0.0063,12.3321,63.282
2019-09-04 22:00:00,0.6,0.6,0,0,61.462,66.1,0,-9.96,0.0063,12.3288,61.912
2019-09-04 22:30:00,0.6,0.6,0,0,60.132,68.5,0,-9.84,0.0063,12.3304,60.712
2019-09-04 23:00:00,0.6,0.6,0,0,57.936,70.3,0,-9.59,0.0063,12.3353,58.993
2019-09-04 23:30:00,0.6,0.6,0,0,56.815,71.9,0,-9.46,0.0063,12.3356,57.268
2019-09-05 00:00:00,0.6,0.6,0,0,57.893,72.1,0,-9.46,0.0063,12.336,57.441
2019-09-05 00:30:00,0.6,0.6,0,0,57.549,71.5,0,-9.71,0.0063,12.336,57.441
2019-09-05 01:00:00,0.6,0.6,0,0,57.247,72.7,0,-9.46,0.0063,12.3402,57.268
2019-09-05 01:30:00,0.6,0.6,0,0,56.901,73.6,0,-9.46,0.0063,12.3394,56.923
2019-09-05 02:00:00,0.6,0.6,0,0,56.685,73.4,0,-9.59,0.0063,12.3389,56.75
2019-09-05 02:30:00,0.6,0.6,0,0,54.3,75.3,0,-9.71,0.0063,12.3346,55.017
2019-09-05 03:00:00,0.6,0.6,0,0,52.686,78.7,0,-9.84,0.0063,12.3347,53.274
2019-09-05 03:30:00,0.6,0.6,0,0,53.035,80.2,0,-9.71,0.0063,12.3379,52.75
2019-09-05 04:00:00,0.6,0.6,0,0,52.203,80.4,0,-9.71,0.0063,12.3417,52.401
2019-09-05 04:30:00,0.6,0.6,0,0,52.772,81.1,0,-9.59,0.0063,12.3324,52.401
2019-09-05 05:00:00,0.6,0.6,0,0,51.017,81.8,0,-9.59,0.0063,12.3398,51.699
2019-09-05 05:30:00,0.6,0.6,0,0,49.338,84.5,0,-9.59,0.0063,12.34,49.937
2019-09-05 06:00:00,0.6,0.6,0,0,48.182,86.5,0,-9.46,0.0063,12.3459,48.695
2019-09-05 06:30:00,0.6,0.6,0,0,47.109,88.3,0,-9.59,0.0063,12.3523,47.624
2019-09-05 07:00:00,9.4,0.6,0,0,46.751,89.4,0,-9.46,0.0063,12.3458,46.908
2019-09-05 07:30:00,18.1,3.1,0,0,47.377,89.7,0,-9.59,0.0063,12.3514,47.266
